mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__max_depth,param_model__max_features,param_model__min_samples_leaf,param_model__min_samples_split,param_model__n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.4628329277038574,0.015887213375785067,0.06605086326599122,0.01320695674578207,5,sqrt,4,5,100,"{'model__max_depth': 5, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 4, 'model__min_samples_split': 5, 'model__n_estimators': 100}",0.86,0.8349514563106796,0.8256880733944955,0.8440366972477065,0.8653846153846154,0.8460121684674995,0.014901421482736812,133
0.9205524444580078,0.05232266391587443,0.10164599418640137,0.014940674235960063,5,sqrt,4,5,200,"{'model__max_depth': 5, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 4, 'model__min_samples_split': 5, 'model__n_estimators': 200}",0.86,0.8349514563106796,0.8545454545454545,0.8440366972477065,0.8653846153846154,0.8517836446976912,0.010985993377061775,101
1.3386558532714843,0.04241824353751984,0.12405538558959961,0.0183160403909323,5,sqrt,4,5,300,"{'model__max_depth': 5, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 4, 'model__min_samples_split': 5, 'model__n_estimators': 300}",0.86,0.8349514563106796,0.8333333333333334,0.8440366972477065,0.8653846153846154,0.8475412204552668,0.01300965665148186,129
0.46462221145629884,0.02553925051514689,0.06846752166748046,0.01429626703319565,5,sqrt,4,10,100,"{'model__max_depth': 5, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 4, 'model__min_samples_split': 10, 'model__n_estimators': 100}",0.86,0.8269230769230769,0.8363636363636363,0.8440366972477065,0.8543689320388349,0.8443384685146509,0.011940507903760571,157
0.8965656757354736,0.02804153706001177,0.10293383598327636,0.010279450898046686,5,sqrt,4,10,200,"{'model__max_depth': 5, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 4, 'model__min_samples_split': 10, 'model__n_estimators': 200}",0.86,0.8349514563106796,0.8256880733944955,0.8440366972477065,0.8543689320388349,0.8438090317983432,0.0124942911199209,165
1.4653980255126953,0.06696936832162499,0.14401464462280272,0.011101514125591625,5,sqrt,4,10,300,"{'model__max_depth': 5, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 4, 'model__min_samples_split': 10, 'model__n_estimators': 300}",0.86,0.8349514563106796,0.8363636363636363,0.8440366972477065,0.8653846153846154,0.8481472810613276,0.012389460144106412,125
0.5107872009277343,0.026532253547751794,0.07850775718688965,0.007211915272992247,5,sqrt,4,20,100,"{'model__max_depth': 5, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 4, 'model__min_samples_split': 20, 'model__n_estimators': 100}",0.86,0.8349514563106796,0.8363636363636363,0.8363636363636363,0.8653846153846154,0.8466126688845137,0.013248968440739077,131
0.8789671897888184,0.043381080458937495,0.09085612297058106,0.014619392523706061,5,sqrt,4,20,200,"{'model__max_depth': 5, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 4, 'model__min_samples_split': 20, 'model__n_estimators': 200}",0.86,0.8349514563106796,0.8468468468468469,0.8440366972477065,0.8653846153846154,0.8502439231579697,0.011030420841379647,107
1.2816005229949952,0.04911807680006562,0.1644111156463623,0.06162685176783398,5,sqrt,4,20,300,"{'model__max_depth': 5, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 4, 'model__min_samples_split': 20, 'model__n_estimators': 300}",0.86,0.8349514563106796,0.8468468468468469,0.8545454545454545,0.8653846153846154,0.8523456746175192,0.01064178220485265,95
0.4820569515228271,0.07115094059418074,0.07582645416259766,0.015154517687806427,5,sqrt,8,5,100,"{'model__max_depth': 5, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 8, 'model__min_samples_split': 5, 'model__n_estimators': 100}",0.86,0.8349514563106796,0.8363636363636363,0.8440366972477065,0.8543689320388349,0.8459441443921714,0.009846906150768633,135
