,importance
log_nst,0.29274581005423056
log_dmin,0.27056702458288295
longitude,0.10290709050333585
latitude,0.0676223856825436
dist_equatore,0.06046221881801673
pacifico,0.04223205360916498
log_depth,0.03321583992544688
cdi,0.028027656379982162
log_gap,0.027507556316814622
log_sig,0.025047604255753416
mmi,0.021929879884118746
magnitude,0.019060136799838298
cdi_percepito,0.008674743187871212
