train_size,train_mean,train_std,test_mean,test_std
50,0.9,0.026,0.782,0.024
100,0.914,0.011,0.805,0.015
150,0.932,0.008,0.792,0.025
200,0.923,0.009,0.832,0.018
250,0.901,0.005,0.837,0.013
300,0.91,0.008,0.843,0.013
350,0.916,0.008,0.848,0.017
400,0.913,0.006,0.85,0.016
450,0.912,0.005,0.857,0.023
500,0.908,0.004,0.873,0.013
