accuracy,f1,roc_auc,precision,recall
0.888,0.8571428571428571,0.8852813852813853,0.84,0.875
0.856,0.8235294117647058,0.8785173160173161,0.7777777777777778,0.875
0.832,0.8,0.8864124597207304,0.75,0.8571428571428571
0.816,0.780952380952381,0.867078410311493,0.7321428571428571,0.8367346938775511
0.864,0.8316831683168316,0.9014500537056929,0.8076923076923077,0.8571428571428571
