train_size,train_mean,train_std,test_mean,test_std
50,0.965,0.022,0.723,0.028
100,0.885,0.005,0.789,0.019
150,0.872,0.018,0.797,0.018
200,0.889,0.007,0.807,0.02
250,0.861,0.016,0.804,0.028
300,0.852,0.02,0.804,0.032
350,0.829,0.024,0.803,0.014
400,0.812,0.024,0.802,0.014
450,0.818,0.016,0.808,0.018
500,0.822,0.007,0.819,0.026
