mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__C,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.12605657577514648,0.018257817488681893,0.018272542953491212,0.004190872628078544,0.01,{'model__C': 0.01},0.7692307692307693,0.7884615384615384,0.7964601769911505,0.7652173913043478,0.8333333333333334,0.7905406418642279,0.024355515600457695,3
0.09032998085021973,0.016039938581409962,0.010872793197631837,0.0024775647176896415,0.1,{'model__C': 0.1},0.7884615384615384,0.8,0.7706422018348624,0.7256637168141593,0.8301886792452831,0.7829912272711687,0.03459989598693734,4
0.10677666664123535,0.013717206762870516,0.010371875762939454,0.001465151150431987,1.0,{'model__C': 1},0.8484848484848485,0.8235294117647058,0.8,0.780952380952381,0.8316831683168316,0.8169299619037533,0.023824066177942808,2
0.21244311332702637,0.0199526323431599,0.005928516387939453,0.0006549000339699692,10.0,{'model__C': 10},0.8571428571428571,0.8235294117647058,0.8,0.780952380952381,0.8316831683168316,0.8186615636353551,0.026246159718465157,1
