,importance
pacifico,2.034355940150242
log_nst,1.9982959852090616
log_dmin,0.48927502496401076
cdi_percepito,0.4880091739913581
cdi,0.41429118154152
dist_equatore,0.36001140326446224
latitude,0.17018131379012047
longitude,0.15486403277433247
log_sig,0.1178262173318032
magnitude,0.0979451269121494
log_gap,0.07658147222471712
log_depth,0.02706490313621579
