feature,lasso_coef,ridge_coef,lasso_selected
log_nst,0.47319883803657625,0.4681082944771228,True
pacifico,0.2642633296923635,0.26751951598258505,True
cdi,0.16352200153788624,0.19328389645972302,True
cdi_percepito,0.12332932938282558,0.14733612854737052,True
log_dmin,0.10814926890166719,0.11072889831059923,True
dist_equatore,0.06965307494536195,0.0716416959601463,True
log_sig,0.06660207013532052,0.07253807240156333,True
magnitude,0.0609475551181927,0.06379452940790085,True
log_gap,0.02928264787814024,0.02948028154597023,True
longitude,0.0270271768478377,0.02973528272524285,True
latitude,0.019202542946715733,0.019725567371063513,True
log_depth,0.018976274065626124,0.019593434771590753,True
mmi,0.0,0.00020444292642092594,False
