accuracy,f1,roc_auc,precision,recall
0.904,0.875,0.9247835497835498,0.875,0.875
0.864,0.8247422680412371,0.9093614718614718,0.8163265306122449,0.8333333333333334
0.824,0.8,0.8984962406015037,0.7213114754098361,0.8979591836734694
0.88,0.8571428571428571,0.9151450053705692,0.8035714285714286,0.9183673469387755
0.888,0.86,0.930719656283566,0.8431372549019608,0.8775510204081632
